Sample #	Date	Start Time	Sample Temp (C)	Sample Pressure (kPa)	Mean Free Path (m)	Gas Viscosity (Pa*s)	Diameter Midpoint	 14.6	 15.1	 15.7	 16.3	 16.8	 17.5	 18.1	 18.8	 19.5	 20.2	 20.9	 21.7	 22.5	 23.3	 24.1	 25.0	 25.9	 26.9	 27.9	 28.9	 30.0	 31.1	 32.2	 33.4	 34.6	 35.9	 37.2	 38.5	 40.0	 41.4	 42.9	 44.5	 46.1	 47.8	 49.6	 51.4	 53.3	 55.2	 57.3	 59.4	 61.5	 63.8	 66.1	 68.5	 71.0	 73.7	 76.4	 79.1	 82.0	 85.1	 88.2	 91.4	 94.7	 98.2	101.8	105.5	109.4	113.4	117.6	121.9	126.3	131.0	135.8	140.7	145.9	151.2	156.8	162.5	168.5	174.7	181.1	187.7	194.6	201.7	209.1	216.7	224.7	232.9	241.4	250.3	259.5	269.0	278.8	289.0	299.6	310.6	322.0	333.8	346.0	358.7	371.8	385.4	399.5	414.2	429.4	445.1	461.4	478.3	495.8	514.0	532.8	552.3	572.5	593.5	615.3	637.8	661.2	Scan Up Time(s)	Retrace Time(s)	Down Scan First	Scans Per Sample	Impactor Type(cm)	Sheath Flow(lpm)	Aerosol Flow(lpm)	CPC Inlet Flow(lpm)	CPC Sample Flow(lpm)	Low Voltage	High Voltage	Lower Size(nm)	Upper Size(nm)	Density(g/cc)	Title	Status Flag	td(s)	tf(s)	D50(nm)	Median(nm)	Mean(nm)	Geo. Mean(nm)	Mode(nm)	Geo. Std. Dev.	Total Conc.(#/cm³)	Comment
10	11/11/21	15:02:39						0	0	0	0	0	0	0	0	341.367	3585.72	35969.3	122441	259243	417048	688065	1.10767e+006	1.71615e+006	2.57869e+006	3.57738e+006	4.89975e+006	6.67319e+006	8.64688e+006	1.09456e+007	1.32759e+007	1.63444e+007	2.15423e+007	2.55808e+007	3.00497e+007	3.47268e+007	4.00156e+007	4.7816e+007	5.36346e+007	6.02418e+007	6.70736e+007	7.32674e+007	7.82699e+007	8.39026e+007	8.75467e+007	9.04286e+007	9.34498e+007	9.28611e+007	9.4337e+007	9.23323e+007	9.17871e+007	8.82517e+007	8.41838e+007	7.97702e+007	7.65898e+007	7.08517e+007	6.43315e+007	5.82059e+007	5.13802e+007	4.5013e+007	3.89336e+007	3.3133e+007	2.794e+007	2.34719e+007	1.98199e+007	1.6455e+007	1.40781e+007	1.13063e+007	8.19555e+006	6.61829e+006	5.38332e+006	4.40446e+006	3.59624e+006	2.93023e+006	2.45861e+006	2.02047e+006	1.7082e+006	1.42346e+006	1.20272e+006	1.00561e+006	848119	709083	603510	523188	443077	385998	337239	292276	260628	236639	210034	198156	174365	172058	156957	148470	143185	137536	132869	128767	125753	121062	124010	121849	117571	115290	112018	110686	109327	115894	110815	106727	108239	109979	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	63.6178	68.2618	64.144	63.7804	1.40694	3.41042e+007	
11	11/11/21	15:06:42						6124.31	4354.1	5250.17	4195.91	4875.21	5174.35	3653.1	3842.86	4084.51	5226.57	25536	111710	307072	560460	922373	1.33551e+006	1.9967e+006	3.13646e+006	4.52421e+006	6.1408e+006	7.90059e+006	1.05951e+007	1.38403e+007	1.71711e+007	2.21096e+007	2.65733e+007	3.10983e+007	3.74664e+007	4.30593e+007	5.09403e+007	5.76209e+007	6.4009e+007	7.11645e+007	7.7398e+007	8.33884e+007	8.87865e+007	9.33946e+007	9.59649e+007	9.82373e+007	9.97608e+007	9.92733e+007	9.77799e+007	9.61828e+007	9.32623e+007	8.94081e+007	8.44197e+007	8.04157e+007	7.5113e+007	6.95784e+007	6.32398e+007	5.72197e+007	5.06998e+007	4.41881e+007	3.82188e+007	3.22265e+007	2.66532e+007	2.19305e+007	1.86444e+007	1.58318e+007	1.31223e+007	1.03814e+007	7.76883e+006	6.42882e+006	5.3581e+006	4.5002e+006	3.73443e+006	3.16624e+006	2.7151e+006	2.28835e+006	1.98029e+006	1.69316e+006	1.48944e+006	1.27676e+006	1.1091e+006	973364	837829	731326	640842	563052	490728	432098	378423	338362	293702	260411	236390	214711	191739	181194	166107	151823	148451	138472	130411	128645	125436	123366	118618	112012	113910	113537	113746	109472	106393	107392	109710	108714	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	61.7854	66.7932	62.5935	59.3523	1.41475	3.65606e+007	
12	11/11/21	15:10:42						4800.42	4876.81	4758.79	3516.42	5391.68	5989.43	5217.41	4476.97	4070.94	6167.61	26742.4	105480	284242	536305	862835	1.36823e+006	2.0792e+006	3.14207e+006	4.47139e+006	6.14958e+006	8.20717e+006	1.06165e+007	1.34457e+007	1.67908e+007	2.20133e+007	2.60988e+007	3.09805e+007	3.63281e+007	4.29038e+007	5.05081e+007	5.75559e+007	6.52802e+007	7.10529e+007	7.7414e+007	8.32291e+007	8.87396e+007	9.42467e+007	9.67177e+007	9.83403e+007	9.93258e+007	9.94224e+007	9.80599e+007	9.54844e+007	9.38193e+007	9.04354e+007	8.63449e+007	8.06142e+007	7.45615e+007	6.87996e+007	6.30634e+007	5.69857e+007	5.0021e+007	4.31598e+007	3.70728e+007	3.07426e+007	2.56223e+007	2.1576e+007	1.83676e+007	1.54867e+007	1.33777e+007	9.92793e+006	7.65102e+006	6.33178e+006	5.28206e+006	4.43444e+006	3.74565e+006	3.16371e+006	2.71112e+006	2.32888e+006	1.99711e+006	1.71819e+006	1.47798e+006	1.30092e+006	1.13742e+006	978499	870747	749988	665054	585251	510786	447978	393295	350909	309832	281815	253002	227194	204637	188640	172716	157130	150782	143791	136093	131545	123815	118058	116254	115179	115904	111977	111714	103193	106688	109079	107097	106213	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	61.7378	66.7274	62.5399	61.5265	1.41375	3.64742e+007	
13	11/11/21	15:19:54						0	0	0	0	0	0	0	4745.22	61838.1	328886	1.09913e+006	1.81251e+006	2.21109e+006	2.71952e+006	3.33259e+006	4.02847e+006	4.79811e+006	5.6379e+006	6.51125e+006	7.46916e+006	8.30877e+006	9.43358e+006	1.03919e+007	1.11838e+007	1.19589e+007	1.2338e+007	1.28227e+007	1.30521e+007	1.33733e+007	1.33024e+007	1.29838e+007	1.24578e+007	1.19066e+007	1.11684e+007	1.02496e+007	9.31292e+006	8.38496e+006	7.40386e+006	6.33256e+006	5.41625e+006	4.5777e+006	3.7601e+006	3.05935e+006	2.46057e+006	1.91175e+006	1.49401e+006	1.16838e+006	906317	693823	533104	429549	348270	291969	259746	238262	229891	208942	202803	197903	200563	194135	182083	176518	177018	169616	158079	148017	139507	132240	124828	111157	97905.1	87792.8	80779	72279.5	64203.7	60950.4	53376	48322.1	49077.5	42656.2	39293.4	35306.3	30811.1	28652.6	25297.5	20525.9	17325.6	16876.9	15793.2	15117.7	12690.4	12272.4	11534	10429.8	8789.33	8492.21	7280.32	7318.19	7140.72	5713.28	5718.73	5332.98	5139.5	5173.91	5333.94	4980.79	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	40.2534	43.6813	40.9473	39.9542	1.3914	4.33921e+006	
14	11/11/21	15:23:57						490.355	353.853	341.073	438.276	105.587	101.884	98.3043	457.708	14018.8	126611	565600	1.43927e+006	1.96518e+006	2.4721e+006	3.07317e+006	3.74028e+006	4.53112e+006	5.41545e+006	6.27244e+006	7.31542e+006	8.32849e+006	9.30551e+006	1.03022e+007	1.11098e+007	1.20732e+007	1.26917e+007	1.3315e+007	1.36661e+007	1.39627e+007	1.40413e+007	1.39598e+007	1.36394e+007	1.31306e+007	1.24946e+007	1.17048e+007	1.07538e+007	9.68637e+006	8.61817e+006	7.49794e+006	6.46911e+006	5.47977e+006	4.53553e+006	3.74111e+006	3.02228e+006	2.38622e+006	1.87845e+006	1.45109e+006	1.12044e+006	856516	649034	509247	391224	305567	238615	190174	155606	127863	111512	90776.9	74649.4	69776.9	64060.4	58278.6	61265.4	56495.9	51315.8	53690.9	47424.3	45866.7	42478.4	39532.6	38858.8	38149.5	38401.8	33803.2	35083.8	31706	29084.1	25842.9	25278.8	23488.6	21565.3	20160.5	16876.9	15653.9	15258.3	14154.8	13281.1	12843.4	10655	11751.3	11944.9	9838.82	8532.56	9031.92	8022.42	7936.53	5550.76	6580.73	6222.82	5895.52	5550.64	5037.49	5720.14	5273.12	4609.55	5500.62	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	41.1529	43.7317	41.4928	41.4178	1.35864	4.5652e+006	
15	11/11/21	15:27:57						423.97	117.951	0	0	527.936	101.884	98.3043	474.835	14042.8	120734	554224	1.35124e+006	1.85659e+006	2.32363e+006	2.88418e+006	3.55192e+006	4.36034e+006	5.22828e+006	6.22231e+006	7.16629e+006	8.09986e+006	9.11629e+006	1.02593e+007	1.11303e+007	1.20543e+007	1.26893e+007	1.3377e+007	1.36348e+007	1.3918e+007	1.40461e+007	1.39658e+007	1.34579e+007	1.29134e+007	1.21649e+007	1.13132e+007	1.04702e+007	9.43494e+006	8.33246e+006	7.31424e+006	6.2769e+006	5.31163e+006	4.41127e+006	3.60511e+006	2.93802e+006	2.31837e+006	1.81279e+006	1.45046e+006	1.13246e+006	873314	670107	517355	403721	323032	250557	200059	161657	133301	107347	90386.2	72474.2	61991	52817	43583.6	41647.7	39625.3	35982.3	31061.4	29812.3	26997.6	26688.3	24788.6	23337.4	23918.3	19820	18185	19637.4	18803.2	18883.8	18143.5	16627.3	15222.9	14091.7	14189.1	14081.7	12813.7	12470.4	11976.1	10636.9	10095.3	10521.6	8962.49	8511.66	8658.91	6935.84	7199.84	6477.42	7158.46	6320.95	6561.48	5642.93	5500.01	5898.56	5223.14	4152.3	4264.22	4618.85	3924.06	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	41.0777	43.5486	41.4289	41.4178	1.35114	4.4877e+006	
16	11/11/21	15:35:00						0	0	0	0	0	0	0	0	91.7369	1779.6	7756.27	22648.5	73842.2	150874	294616	547303	969195	1.60483e+006	2.77569e+006	3.5852e+006	3.98079e+006	5.03396e+006	6.86018e+006	9.13483e+006	1.1604e+007	1.43828e+007	1.89414e+007	2.3281e+007	2.75663e+007	3.21327e+007	3.86126e+007	4.46685e+007	5.12965e+007	5.56068e+007	6.13908e+007	6.75377e+007	7.2831e+007	7.77201e+007	7.98542e+007	8.31394e+007	8.5364e+007	8.64441e+007	8.64185e+007	8.69921e+007	8.50902e+007	8.32466e+007	8.01325e+007	7.57416e+007	7.14002e+007	6.64452e+007	6.07751e+007	5.34631e+007	4.78965e+007	4.23433e+007	3.69632e+007	3.16918e+007	2.67431e+007	2.28483e+007	1.91264e+007	1.63629e+007	1.42307e+007	1.1706e+007	8.66724e+006	7.18211e+006	5.97198e+006	4.93555e+006	4.12248e+006	3.41759e+006	2.78562e+006	2.32342e+006	1.89041e+006	1.55736e+006	1.27884e+006	1.05989e+006	892087	756508	633267	529580	455054	394464	339912	299805	265888	238499	213857	192500	174633	162936	152868	148233	137449	138665	132595	127646	125331	127499	120143	120271	116174	118917	110759	112108	114847	112158	115688	116198	116729	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	66.3983	71.4477	67.0491	68.539	1.41138	3.18772e+007	
17	11/11/21	15:39:03						5635.95	5777.39	5897.06	5044.45	6120.33	4768.87	4316.97	4753.61	3872.48	4319.35	19520.8	86576.2	221704	395438	693998	1.16788e+006	1.72204e+006	2.5104e+006	3.63768e+006	5.09348e+006	6.80894e+006	9.04191e+006	1.19319e+007	1.50193e+007	1.99691e+007	2.43297e+007	2.8983e+007	3.4046e+007	4.06678e+007	4.62662e+007	5.25323e+007	5.84409e+007	6.55354e+007	7.29758e+007	7.80796e+007	8.41095e+007	8.85976e+007	9.28103e+007	9.5656e+007	9.68661e+007	9.70601e+007	9.78881e+007	9.65768e+007	9.48544e+007	9.27839e+007	8.9934e+007	8.46382e+007	8.1232e+007	7.45131e+007	6.84663e+007	6.26469e+007	5.51323e+007	4.8607e+007	4.2068e+007	3.55277e+007	2.96973e+007	2.5398e+007	2.15242e+007	1.80936e+007	1.5238e+007	1.27547e+007	9.97231e+006	7.66078e+006	6.38766e+006	5.29256e+006	4.39935e+006	3.68528e+006	3.12858e+006	2.64844e+006	2.25127e+006	1.89548e+006	1.6277e+006	1.40531e+006	1.23553e+006	1.07455e+006	934038	814335	716510	627500	547015	487525	422099	375017	331738	303116	266239	234463	211191	188559	177432	168465	156721	144908	136052	127659	122879	120944	117420	120922	121662	115469	118644	111637	113740	108389	113052	110994	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	63.5173	68.5593	64.2006	63.7804	1.4184	3.66302e+007	
18	11/11/21	15:43:03						5176.38	5818.65	5442.97	6467.14	5329.27	5386.74	5177.45	5077.43	3758.14	5981.26	16380.4	76336.8	204181	398028	688140	1.10064e+006	1.7532e+006	2.68802e+006	3.80398e+006	5.22996e+006	6.82593e+006	9.15812e+006	1.22284e+007	1.53961e+007	2.0344e+007	2.49209e+007	2.91067e+007	3.42213e+007	4.00238e+007	4.58385e+007	5.31707e+007	5.95513e+007	6.73841e+007	7.35866e+007	7.99292e+007	8.49311e+007	8.91787e+007	9.27788e+007	9.56328e+007	9.68023e+007	9.76733e+007	9.7012e+007	9.52529e+007	9.36611e+007	9.18391e+007	8.82897e+007	8.24987e+007	7.8495e+007	7.18481e+007	6.70223e+007	6.04268e+007	5.41976e+007	4.72441e+007	4.10697e+007	3.55185e+007	2.99344e+007	2.50414e+007	2.10843e+007	1.77089e+007	1.5431e+007	1.30418e+007	9.87846e+006	7.62503e+006	6.3658e+006	5.31874e+006	4.41994e+006	3.68574e+006	3.13906e+006	2.67005e+006	2.30979e+006	1.9689e+006	1.69359e+006	1.46719e+006	1.2715e+006	1.10541e+006	951682	825937	719717	636536	545663	477385	423838	375114	333082	287747	260968	227439	210744	189732	175850	168315	152428	146709	136231	132463	125636	125618	122568	115739	116472	111734	115499	111139	110095	109997	113230	112970	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	63.1694	68.3711	63.9883	61.5265	1.42002	3.64531e+007	
19	11/11/21	16:07:14						0	0	0	0	0	0	0	0	0	0	0	0	0	77.595	0	145.329	0	206.085	132.563	80.4982	133.18	220.59	297.421	57.6646	322.102	234.582	147.417	429.58	836.281	757.017	1070.55	2063.9	1679.75	2617.72	3425.34	4524.84	6228.77	8253.45	8968.18	10996.3	13634.1	13579.3	15829.2	19324.3	22348.8	27243.5	28681.9	34034.8	39131.5	38244.5	44257.9	45979.2	45964.8	51322.7	54823.5	61880.8	62812.3	63993.2	62919.8	68172.4	70250.9	72769	71675.8	65788.4	64349.8	61742.7	59959.6	61004.8	64813.5	67386.1	61087.3	55174.1	50624.5	47530.4	45855.3	44697.7	40251.2	35324.7	32874.8	32371.3	28014.5	24801.8	21119.2	17922.2	15950	13836.1	12617.4	10895.3	7826.51	7271.38	6057.5	4544.31	5033.41	3735.85	4096.48	3065.51	2610.43	2488.61	1972.28	1633.57	1441.01	874.823	1244.82	1001.94	1516.23	576.526	738.446	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	138.681	155.856	140.686	130.975	1.56509	34007.9	
